NO_OF_FRAMES	250
NO_OF_CAMERAS	7
NO_OF_MARKERS	1
FREQUENCY	250
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-02-07, 11:22:15	9797.78755972
DATA_INCLUDED	3D
MARKER_NAMES	?
-11.746	111.576	-18.418
-11.702	111.460	-18.279
-11.820	111.755	-18.259
-11.771	111.522	-18.530
-11.770	111.474	-18.455
-11.767	111.451	-18.367
-11.716	111.468	-18.387
-11.735	111.676	-18.554
-11.735	111.539	-18.568
-11.791	111.475	-18.479
-11.794	111.571	-18.494
-11.778	111.573	-18.703
-11.859	111.596	-18.375
-11.776	111.483	-18.496
-11.809	111.590	-18.488
-11.780	111.690	-18.491
-11.686	111.454	-18.498
-11.827	111.673	-18.332
-11.717	111.595	-18.378
-11.626	111.461	-18.218
-11.692	111.479	-18.535
-11.763	111.493	-18.425
-11.713	111.611	-18.384
-11.751	111.412	-18.549
-11.809	111.501	-18.279
-11.770	111.509	-18.575
-11.754	111.588	-18.460
-11.806	111.505	-18.449
-11.845	111.631	-18.374
-11.773	111.566	-18.528
-11.755	111.561	-18.343
-11.833	111.535	-18.310
-11.750	111.562	-18.396
