NO_OF_FRAMES	20413
NO_OF_CAMERAS	9
NO_OF_MARKERS	6
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-05-15, 12:22:08	13083.47976359
DATA_INCLUDED	3D
MARKER_NAMES	box1	box2	box3	box4	clap1	clap2
786.953	-112.863	544.562	967.629	-46.370	544.148	902.078	133.015	546.633	721.542	70.124	546.950	0.000	0.000	0.000	0.000	0.000	0.000
786.956	-112.757	544.604	967.664	-46.340	544.086	902.018	133.024	546.625	721.515	70.133	546.921	0.000	0.000	0.000	0.000	0.000	0.000
786.962	-112.808	544.612	967.643	-46.274	544.080	901.990	133.046	546.678	721.563	70.187	546.956	0.000	0.000	0.000	0.000	0.000	0.000
786.936	-112.799	544.547	967.630	-46.346	544.114	902.030	132.993	546.625	721.478	70.221	546.993	0.000	0.000	0.000	0.000	0.000	0.000
786.866	-112.795	544.506	967.644	-46.289	544.194	902.065	133.045	546.635	721.526	70.174	546.911	0.000	0.000	0.000	0.000	0.000	0.000
786.954	-112.806	544.540	967.623	-46.341	544.074	902.069	133.004	546.694	721.500	70.163	546.914	0.000	0.000	0.000	0.000	0.000	0.000
786.927	-112.776	544.523	967.642	-46.416	544.153	902.113	133.056	546.665	721.538	70.087	546.959	0.000	0.000	0.000	0.000	0.000	0.000
786.953	-112.801	544.615	967.628	-46.371	544.127	902.013	132.988	546.654	721.515	70.129	546.951	0.000	0.000	0.000	0.000	0.000	0.000
786.928	-112.808	544.514	967.617	-46.404	544.083	902.042	132.969	546.676	721.536	70.083	546.917	0.000	0.000	0.000	0.000	0.000	0.000
786.943	-112.797	544.585	967.654	-46.369	544.059	902.044	132.978	546.645	721.532	70.116	546.938	0.000	0.000	0.000	0.000	0.000	0.000
786.935	-112.852	544.539	967.625	-46.408	544.051	902.049	133.005	546.669	721.507	70.113	546.914	0.000	0.000	0.000	0.000	0.000	0.000
786.947	-112.832	544.569	967.582	-46.398	544.114	902.079	132.901	546.657	721.545	70.066	546.921	0.000	0.000	0.000	0.000	0.000	0.000
786.964	-112.839	544.585	967.607	-46.386	544.056	901.982	132.907	546.725	721.464	70.080	546.963	0.000	0.000	0.000	0.000	0.000	0.000
786.948	-112.777	544.604	967.613	-46.412	544.158	902.042	132.956	546.662	721.477	69.998	546.937	0.000	0.000	0.000	0.000	0.000	0.000
786.809	-112.787	544.509	967.605	-46.388	544.110	902.001	132.871	546.714	721.498	70.063	547.000	0.000	0.000	0.000	0.000	0.000	0.000
786.873	-112.826	544.491	967.568	-46.360	544.066	902.040	132.933	546.672	721.538	70.053	546.934	0.000	0.000	0.000	0.000	0.000	0.000
