NO_OF_FRAMES	12393
NO_OF_CAMERAS	9
NO_OF_MARKERS	10
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-05-15, 11:47:08	10982.55566463
DATA_INCLUDED	3D
MARKER_NAMES	paddel-L	paddel-R	front-R	back-R	lateral-R	front-L	back-L	lateral-L	clap1	clap2
662.037	980.680	-5.694	639.775	-775.992	-1.309	670.165	-217.459	70.780	567.289	-221.870	-19.645	621.278	-119.071	27.889	722.922	423.587	26.381	586.234	426.173	31.460	652.517	324.197	30.547	0.000	0.000	0.000	0.000	0.000	0.000
662.009	980.672	-5.730	639.761	-776.169	-1.462	670.082	-217.494	70.772	567.402	-221.665	-19.399	621.111	-119.147	27.664	722.855	423.602	26.484	586.298	426.116	31.532	652.412	324.225	30.431	0.000	0.000	0.000	0.000	0.000	0.000
661.953	980.676	-5.732	639.827	-776.221	-1.565	670.097	-217.479	70.795	567.747	-220.427	-19.961	621.123	-119.102	27.690	722.841	423.488	26.463	586.245	426.103	31.529	652.524	324.174	30.482	0.000	0.000	0.000	0.000	0.000	0.000
661.896	980.643	-5.534	639.545	-776.032	-1.575	670.129	-217.501	70.697	568.069	-220.728	-19.553	620.991	-119.591	27.356	722.839	423.552	26.393	586.272	426.178	31.557	651.994	324.768	30.510	0.000	0.000	0.000	0.000	0.000	0.000
661.985	980.670	-5.691	639.477	-776.112	-1.566	670.142	-217.465	70.776	568.341	-220.158	-19.535	621.287	-119.580	27.505	722.813	423.578	26.428	586.322	426.196	31.612	652.043	324.720	30.501	0.000	0.000	0.000	0.000	0.000	0.000
662.022	980.613	-5.734	639.520	-776.032	-1.601	670.111	-217.513	70.740	568.050	-220.754	-19.421	621.199	-119.672	27.585	722.881	423.618	26.503	586.348	426.171	31.636	652.000	324.749	30.441	0.000	0.000	0.000	0.000	0.000	0.000
661.679	980.696	-5.283	638.599	-776.290	-1.861	670.042	-217.518	70.423	568.578	-219.440	-19.127	620.588	-119.378	27.017	722.865	423.852	26.723	586.556	426.586	31.590	650.409	325.266	30.121	0.000	0.000	0.000	0.000	0.000	0.000
661.367	980.820	-5.401	639.233	-776.113	-1.793	669.687	-217.402	70.441	568.104	-219.264	-19.847	621.226	-119.690	27.112	722.247	423.790	26.475	586.272	426.357	31.365	651.215	325.295	30.389	0.000	0.000	0.000	0.000	0.000	0.000
661.827	980.710	-5.592	639.325	-776.103	-1.731	669.985	-217.372	70.581	568.497	-219.806	-19.402	621.247	-119.681	27.096	722.712	423.550	26.580	586.275	426.233	31.777	651.269	325.215	30.483	0.000	0.000	0.000	0.000	0.000	0.000
661.886	980.703	-5.514	639.295	-776.131	-1.685	669.944	-217.477	70.511	568.280	-220.380	-19.350	621.124	-119.774	26.952	722.742	423.731	26.726	586.282	426.191	31.673	651.188	325.264	30.407	0.000	0.000	0.000	0.000	0.000	0.000
661.855	980.694	-5.616	639.319	-776.082	-1.751	669.991	-217.418	70.583	568.246	-219.603	-19.757	621.174	-119.770	27.057	722.720	423.702	26.661	586.291	426.196	31.766	651.145	325.321	30.473	0.000	0.000	0.000	0.000	0.000	0.000
661.868	980.627	-5.670	639.342	-776.173	-1.677	670.005	-217.413	70.627	568.257	-219.631	-19.817	621.109	-119.730	26.977	722.724	423.620	26.570	586.278	426.201	31.798	651.200	325.271	30.543	0.000	0.000	0.000	0.000	0.000	0.000
