NO_OF_FRAMES	1619
NO_OF_CAMERAS	12
NO_OF_MARKERS	5
FREQUENCY	250
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-02-12, 15:21:50	11501.40619015
DATA_INCLUDED	3D
MARKER_NAMES	cylinder_tip	cylinder_left	cylinder_right	weight_top	weight_low
-1255.853	-136.572	988.583	-1254.461	-63.249	990.170	-1214.225	-193.143	980.404	-1216.747	-119.044	792.489	-1213.591	-115.406	533.678
-1255.977	-136.466	988.577	-1254.568	-63.174	990.187	-1213.248	-192.885	980.043	-1216.840	-119.021	792.483	-1213.724	-115.466	533.640
0.000	0.000	0.000	-1254.561	-63.141	990.193	-1214.537	-193.323	980.786	-1216.878	-119.033	792.487	-1213.758	-115.531	533.653
0.000	0.000	0.000	-1254.576	-63.205	990.218	-1213.254	-192.881	980.087	-1216.885	-119.051	792.485	-1213.803	-115.589	533.634
0.000	0.000	0.000	-1254.578	-63.224	990.211	-1213.270	-192.903	980.095	-1216.913	-119.099	792.489	-1213.849	-115.668	533.663
0.000	0.000	0.000	-1254.569	-63.235	990.218	-1213.273	-192.880	980.065	-1216.943	-119.129	792.485	-1213.913	-115.713	533.684
0.000	0.000	0.000	-1254.578	-63.241	990.206	-1213.258	-192.905	980.106	-1216.964	-119.145	792.482	-1213.977	-115.818	533.683
0.000	0.000	0.000	-1254.606	-63.445	990.119	-1213.323	-193.217	980.094	-1216.905	-119.205	792.274	-1213.838	-115.872	533.259
0.000	0.000	0.000	-1254.812	-63.822	990.803	-1213.277	-192.672	980.135	-1217.193	-119.599	793.363	-1214.161	-116.308	534.710
0.000	0.000	0.000	-1254.837	-63.809	990.847	-1213.235	-192.602	980.121	-1217.192	-119.614	793.361	-1214.212	-116.380	534.749
0.000	0.000	0.000	-1254.721	-63.118	990.096	-1213.223	-192.590	980.077	-1217.325	-119.190	792.729	-1214.533	-116.020	534.050
0.000	0.000	0.000	-1254.756	-63.096	990.066	-1213.224	-192.583	980.093	-1217.361	-119.200	792.733	-1214.627	-116.078	534.057
0.000	0.000	0.000	-1254.750	-63.108	990.096	-1213.253	-192.595	980.108	-1217.393	-119.214	792.712	-1214.679	-116.123	534.039
