NO_OF_FRAMES	1249
NO_OF_CAMERAS	12
NO_OF_MARKERS	7
FREQUENCY	250
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2013-02-12, 12:44:56	2088.07164952
DATA_INCLUDED	3D
MARKER_NAMES	pointer_handle	pointer_tip	pointer_ls	pointer_ll	cylinder_tip	cylinder_left	cylinder_right
2.200	-190.656	1451.783	41.504	-276.287	1288.215	24.284	-146.396	1509.443	-59.093	-180.593	1507.319	-90.049	-415.769	1225.251	-52.994	-456.271	1182.851	-91.793	-354.837	1263.222
2.194	-190.642	1451.821	41.502	-276.288	1288.246	24.264	-146.351	1509.391	-59.099	-180.575	1507.353	-90.117	-415.812	1225.258	-52.996	-456.280	1182.835	-91.801	-354.832	1263.246
2.200	-190.673	1451.829	41.522	-276.264	1288.258	24.278	-146.336	1509.435	-59.086	-180.589	1507.386	-90.125	-415.760	1225.305	-53.045	-456.248	1182.875	-91.819	-354.789	1263.243
2.225	-190.644	1451.860	41.518	-276.266	1288.270	24.276	-146.343	1509.444	-59.065	-180.618	1507.398	-90.333	-416.078	1225.438	-51.924	-456.772	1183.549	-91.829	-354.797	1263.270
2.243	-190.663	1451.885	41.492	-276.284	1288.310	24.297	-146.364	1509.448	-59.055	-180.600	1507.431	-90.348	-416.070	1225.449	-51.953	-456.716	1183.560	-91.859	-354.748	1263.247
2.244	-190.663	1451.917	41.497	-276.279	1288.314	24.313	-146.345	1509.479	-59.023	-180.623	1507.467	-90.406	-416.027	1225.424	-51.960	-456.725	1183.572	-91.888	-354.728	1263.265
2.249	-190.665	1451.950	41.496	-276.268	1288.325	24.321	-146.326	1509.487	-59.016	-180.601	1507.488	-90.395	-416.021	1225.471	-51.982	-456.711	1183.609	-91.875	-354.695	1263.279
2.253	-190.651	1451.958	41.511	-276.283	1288.382	24.330	-146.331	1509.522	-59.000	-180.648	1507.528	-90.380	-415.980	1225.474	-51.986	-456.710	1183.642	-91.871	-354.693	1263.292
2.279	-190.658	1451.992	41.511	-276.252	1288.391	24.347	-146.317	1509.536	-58.986	-180.641	1507.547	-90.401	-415.984	1225.486	-51.993	-456.706	1183.691	-91.887	-354.660	1263.315
2.294	-190.521	1451.943	41.503	-276.247	1288.413	24.376	-146.313	1509.549	-58.965	-180.424	1507.519	-90.426	-415.950	1225.520	-52.016	-456.716	1183.708	-91.890	-354.668	1263.341
2.312	-190.654	1452.059	41.502	-276.260	1288.429	24.368	-146.300	1509.579	-58.968	-180.642	1507.629	-90.384	-415.968	1225.566	-51.999	-456.680	1183.754	-91.890	-354.646	1263.377
2.312	-190.648	1452.085	41.488	-276.270	1288.479	24.398	-146.289	1509.600	-58.963	-180.687	1507.679	-90.412	-415.976	1225.607	-52.026	-456.715	1183.784	-91.902	-354.651	1263.405
2.339	-190.641	1452.115	41.499	-276.257	1288.521	24.409	-146.308	1509.642	-58.952	-180.663	1507.708	-90.399	-415.990	1225.672	-51.986	-456.716	1183.825	-91.869	-354.638	1263.435
2.331	-190.541	1452.063	41.519	-276.288	1288.522	24.429	-146.304	1509.693	-58.883	-180.435	1507.636	-90.385	-415.979	1225.722	-51.998	-456.746	1183.904	-91.855	-354.682	1263.491
2.350	-190.547	1452.096	41.530	-276.267	1288.564	24.443	-146.339	1509.700	-58.877	-180.433	1507.674	-90.376	-415.989	1225.767	-51.975	-456.767	1183.950	-91.855	-354.708	1263.550
2.388	-190.562	1452.135	41.540	-276.280	1288.599	24.456	-146.343	1509.735	-58.852	-180.421	1507.707	-90.352	-416.021	1225.816	-51.971	-456.797	1184.011	-91.821	-354.736	1263.613
2.394	-190.679	1452.229	41.567	-276.299	1288.629	24.484	-146.350	1509.744	-58.872	-180.669	1507.824	-90.338	-416.080	1225.859	-51.948	-456.812	1184.053	-91.793	-354.783	1263.682
2.427	-190.678	1452.265	41.552	-276.298	1288.663	24.508	-146.313	1509.774	-58.845	-180.683	1507.859	-90.297	-416.107	1225.923	-51.932	-456.842	1184.096	-91.751	-354.815	1263.748
2.441	-190.697	1452.315	41.592	-276.329	1288.707	24.539	-146.336	1509.799	-58.812	-180.707	1507.890	-90.264	-416.148	1226.022	-51.894	-456.867	1184.175	-91.737	-354.864	1263.817
2.474	-190.571	1452.230	41.584	-276.336	1288.737	24.593	-146.372	1509.922	-58.755	-180.474	1507.833	-90.242	-416.216	1226.081	-51.862	-456.913	1184.233	-91.675	-354.932	1263.944
2.503	-190.679	1452.360	41.629	-276.350	1288.752	24.580	-146.326	1509.857	-58.763	-180.711	1507.958	-90.202	-416.253	1226.148	-51.836	-456.942	1184.312	-91.613	-354.971	1264.025
2.505	-190.692	1452.385	41.643	-276.367	1288.823	24.601	-146.304	1509.886	-58.739	-180.719	1508.017	-90.138	-416.276	1226.201	-51.781	-456.998	1184.354	-91.617	-355.008	1264.083
2.541	-190.557	1452.326	41.662	-276.396	1288.823	24.612	-146.345	1509.911	-58.691	-180.496	1507.942	-90.124	-416.333	1226.265	-51.766	-457.037	1184.419	-91.562	-355.058	1264.136
2.550	-190.570	1452.359	41.667	-276.396	1288.864	24.642	-146.316	1509.918	-58.658	-180.513	1507.959	-90.098	-416.381	1226.315	-51.722	-457.071	1184.483	-91.552	-355.091	1264.192
2.565	-190.582	1452.373	41.674	-276.428	1288.902	24.632	-146.334	1509.952	-58.637	-180.521	1507.986	-90.084	-416.438	1226.365	-51.682	-457.121	1184.535	-91.504	-355.144	1264.260
2.592	-190.570	1452.384	41.704	-276.443	1288.926	24.654	-146.323	1509.975	-58.623	-180.495	1508.028	-90.036	-416.469	1226.412	-51.666	-457.172	1184.600	-91.504	-355.169	1264.323
2.610	-190.581	1452.400	41.717	-276.433	1288.938	24.662	-146.319	1509.972	-58.599	-180.489	1508.035	-90.011	-416.486	1226.468	-51.635	-457.191	1184.629	-91.494	-355.190	1264.346
2.623	-190.578	1452.429	41.737	-276.454	1288.964	24.703	-146.320	1510.020	-58.603	-180.516	1508.041	-89.977	-416.533	1226.518	-51.624	-457.242	1184.681	-91.462	-355.243	1264.402
2.625	-190.678	1452.527	41.705	-276.474	1288.989	24.705	-146.298	1510.004	-58.617	-180.761	1508.168	-89.984	-416.571	1226.541	-51.596	-457.263	1184.711	-91.484	-355.271	1264.392
2.652	-190.573	1452.446	41.719	-276.450	1288.995	24.713	-146.316	1510.030	-58.559	-180.525	1508.102	-89.988	-416.613	1226.577	-51.580	-457.283	1184.763	-91.457	-355.285	1264.450
2.649	-190.578	1452.466	41.722	-276.490	1289.036	24.767	-146.378	1510.107	-58.544	-180.552	1508.138	-89.954	-416.626	1226.588	-51.559	-457.315	1184.784	-91.473	-355.312	1264.458
2.657	-190.584	1452.483	41.735	-276.497	1289.055	24.766	-146.382	1510.119	-58.546	-180.558	1508.141	-89.983	-416.627	1226.609	-51.561	-457.350	1184.817	-91.463	-355.313	1264.476
2.665	-190.692	1452.586	41.735	-276.491	1289.059	24.774	-146.373	1510.152	-58.582	-180.808	1508.255	-89.960	-416.639	1226.629	-51.553	-457.360	1184.852	-91.460	-355.328	1264.502
